,n,GroundTruth,Static,Looped,ॐ Function (Strict)
1283,2577,Composite,Prime,Prime,Prime
1285,2581,Composite,Composite,Composite,Prime
1288,2587,Composite,Prime,Composite,Prime
1290,2591,Prime,Composite,Composite,Prime
1293,2597,Composite,Prime,Composite,Prime
1294,2599,Composite,Prime,Composite,Prime
1295,2601,Composite,Composite,Composite,Prime
1296,2603,Composite,Prime,Composite,Prime
1298,2607,Composite,Prime,Composite,Prime
1300,2611,Composite,Composite,Composite,Prime
1301,2613,Composite,Prime,Composite,Prime
1305,2621,Prime,Composite,Composite,Prime
1306,2623,Composite,Prime,Composite,Prime
1308,2627,Composite,Prime,Composite,Prime
1309,2629,Composite,Prime,Composite,Prime
1310,2631,Composite,Composite,Composite,Prime
1315,2641,Composite,Composite,Composite,Prime
1316,2643,Composite,Prime,Prime,Prime
1320,2651,Composite,Composite,Composite,Prime
1325,2661,Composite,Composite,Composite,Prime
1328,2667,Composite,Prime,Prime,Prime
1329,2669,Composite,Prime,Composite,Prime
1330,2671,Prime,Composite,Composite,Prime
1331,2673,Composite,Prime,Composite,Prime
1335,2681,Composite,Composite,Composite,Prime
1340,2691,Composite,Composite,Composite,Prime
1343,2697,Composite,Prime,Composite,Prime
1345,2701,Composite,Composite,Composite,Prime
1346,2703,Composite,Prime,Composite,Prime
1350,2711,Prime,Composite,Composite,Prime
1353,2717,Composite,Prime,Composite,Prime
1355,2721,Composite,Composite,Composite,Prime
1360,2731,Prime,Composite,Composite,Prime
1361,2733,Composite,Prime,Prime,Prime
1363,2737,Composite,Prime,Composite,Prime
1365,2741,Prime,Composite,Composite,Prime
1366,2743,Composite,Prime,Prime,Prime
1368,2747,Composite,Prime,Composite,Prime
1370,2751,Composite,Composite,Composite,Prime
1373,2757,Composite,Prime,Prime,Prime
1374,2759,Composite,Prime,Composite,Prime
1375,2761,Composite,Composite,Composite,Prime
1376,2763,Composite,Prime,Prime,Prime
1380,2771,Composite,Composite,Composite,Prime
1381,2773,Composite,Prime,Composite,Prime
1385,2781,Composite,Composite,Composite,Prime
1386,2783,Composite,Prime,Composite,Prime
1388,2787,Composite,Prime,Prime,Prime
1390,2791,Prime,Composite,Composite,Prime
1395,2801,Prime,Composite,Composite,Prime
1398,2807,Composite,Prime,Prime,Prime
1399,2809,Composite,Prime,Composite,Prime
1400,2811,Composite,Composite,Composite,Prime
1401,2813,Composite,Prime,Composite,Prime
1405,2821,Composite,Composite,Composite,Prime
1406,2823,Composite,Prime,Prime,Prime
1408,2827,Composite,Prime,Composite,Prime
1410,2831,Composite,Composite,Composite,Prime
1414,2839,Composite,Prime,Composite,Prime
1415,2841,Composite,Composite,Composite,Prime
1418,2847,Composite,Prime,Composite,Prime
1420,2851,Prime,Composite,Composite,Prime
1421,2853,Composite,Prime,Prime,Prime
1425,2861,Prime,Composite,Composite,Prime
1428,2867,Composite,Prime,Composite,Prime
1429,2869,Composite,Prime,Composite,Prime
1430,2871,Composite,Composite,Composite,Prime
1431,2873,Composite,Prime,Composite,Prime
1433,2877,Composite,Prime,Prime,Prime
1435,2881,Composite,Composite,Composite,Prime
1436,2883,Composite,Prime,Composite,Prime
1440,2891,Composite,Composite,Composite,Prime
1441,2893,Composite,Prime,Composite,Prime
1444,2899,Composite,Prime,Composite,Prime
1445,2901,Composite,Composite,Composite,Prime
1450,2911,Composite,Composite,Composite,Prime
1451,2913,Composite,Prime,Prime,Prime
1455,2921,Composite,Composite,Composite,Prime
1456,2923,Composite,Prime,Composite,Prime
1459,2929,Composite,Prime,Composite,Prime
1460,2931,Composite,Composite,Composite,Prime
1463,2937,Composite,Prime,Composite,Prime
1465,2941,Composite,Composite,Composite,Prime
1466,2943,Composite,Prime,Prime,Prime
1468,2947,Composite,Prime,Prime,Prime
1470,2951,Composite,Composite,Composite,Prime
1474,2959,Composite,Prime,Composite,Prime
